movieId,rating,userId
2,3.0,0
3,1.0,0
5,2.0,0
9,4.0,0
11,1.0,0
12,2.0,0
15,1.0,0
17,1.0,0
19,1.0,0
21,1.0,0
23,1.0,0
26,3.0,0
27,1.0,0
28,1.0,0
29,1.0,0
30,1.0,0
31,1.0,0
34,1.0,0
37,1.0,0
41,2.0,0
44,1.0,0
45,2.0,0
46,1.0,0
47,1.0,0
48,1.0,0
50,1.0,0
51,1.0,0
54,1.0,0
55,1.0,0
59,2.0,0
61,2.0,0
64,1.0,0
67,1.0,0
68,1.0,0
69,1.0,0
71,1.0,0
72,1.0,0
77,2.0,0
79,1.0,0
83,1.0,0
87,1.0,0
89,2.0,0
91,3.0,0
92,4.0,0
94,1.0,0
95,2.0,0
96,1.0,0
98,1.0,0
99,1.0,0
2,2.0,1
3,1.0,1
4,2.0,1
6,1.0,1
9,3.0,1
12,1.0,1
13,1.0,1
14,1.0,1
16,1.0,1
19,1.0,1
21,3.0,1
27,1.0,1
28,3.0,1
33,1.0,1
36,2.0,1
37,1.0,1
40,1.0,1
41,2.0,1
43,1.0,1
44,1.0,1
47,1.0,1
50,1.0,1
54,1.0,1
56,2.0,1
57,1.0,1
58,1.0,1
60,1.0,1
62,4.0,1
63,1.0,1
67,1.0,1
68,4.0,1
70,2.0,1
72,1.0,1
73,1.0,1
74,2.0,1
76,1.0,1
77,3.0,1
78,1.0,1
81,1.0,1
82,1.0,1
85,3.0,1
86,2.0,1
88,2.0,1
91,1.0,1
92,2.0,1
93,1.0,1
94,2.0,1
96,1.0,1
97,1.0,1
4,3.0,2
6,1.0,2
8,5.0,2
9,1.0,2
10,1.0,2
12,3.0,2
13,1.0,2
15,2.0,2
18,2.0,2
19,4.0,2
22,1.0,2
26,1.0,2
28,1.0,2
34,4.0,2
35,1.0,2
37,5.0,2
38,1.0,2
39,5.0,2
40,4.0,2
47,1.0,2
50,1.0,2
52,2.0,2
54,1.0,2
55,1.0,2
57,2.0,2
58,2.0,2
59,1.0,2
61,1.0,2
62,1.0,2
64,1.0,2
65,1.0,2
66,3.0,2
68,1.0,2
71,3.0,2
76,1.0,2
77,1.0,2
78,1.0,2
80,1.0,2
83,5.0,2
85,1.0,2
87,2.0,2
88,1.0,2
89,4.0,2
90,1.0,2
92,4.0,2
93,5.0,2
0,1.0,3
1,1.0,3
2,1.0,3
7,3.0,3
8,3.0,3
9,1.0,3
14,1.0,3
15,1.0,3
16,1.0,3
18,4.0,3
19,1.0,3
24,3.0,3
26,1.0,3
29,3.0,3
33,1.0,3
34,3.0,3
35,1.0,3
36,3.0,3
37,1.0,3
