Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,213.429998,214.499996,212.38000099999996,214.009998,123432400,27.727039
2010-01-05,214.599998,215.589994,213.249994,214.379993,150476200,27.774976000000002
2010-01-06,214.379993,215.23,210.750004,210.969995,138040000,27.333178000000004
2010-01-07,211.75,212.000006,209.050005,210.58,119282800,27.28265
2010-01-08,210.299994,212.000006,209.06000500000002,211.98000499999998,111902700,27.464034
2010-01-11,212.79999700000002,213.000002,208.450005,210.11000299999998,115557400,27.221758
2010-01-12,209.18999499999998,209.76999500000002,206.419998,207.720001,148614900,26.91211
2010-01-13,207.870005,210.92999500000002,204.099998,210.650002,151473000,27.29172
2010-01-14,210.11000299999998,210.45999700000002,209.020004,209.43,108223500,27.133657
2010-01-15,210.92999500000002,211.59999700000003,205.869999,205.93,148516900,26.680197999999997
2010-01-19,208.330002,215.18999900000003,207.240004,215.039995,182501900,27.860484999999997
2010-01-20,214.910006,215.549994,209.500002,211.73,153038200,27.431644
2010-01-21,212.079994,213.30999599999998,207.210003,208.069996,152038600,26.957455
2010-01-22,206.78000600000001,207.499996,197.16,197.75,220441900,25.620401
2010-01-25,202.51000200000001,204.699999,200.190002,203.070002,266424900,26.309658000000002
2010-01-26,205.95000100000001,213.710005,202.580004,205.940001,466777500,26.681494
2010-01-27,206.849995,210.58,199.530001,207.880005,430642100,26.932840000000002
2010-01-28,204.930004,205.500004,198.699995,199.289995,293375600,25.819922000000002
2010-01-29,201.079996,202.199995,190.250002,192.060003,311488100,24.883208
2010-02-01,192.36999699999998,196.0,191.29999899999999,194.729998,187469100,25.229131
2010-02-02,195.909998,196.319994,193.37999299999998,195.859997,174585600,25.375532999999997
2010-02-03,195.169994,200.200003,194.420004,199.229994,153832000,25.812148999999998
2010-02-04,196.730003,198.370001,191.570005,192.050003,189413000,24.881912
2010-02-05,192.63000300000002,196.0,190.850002,195.460001,212576700,25.323710000000002
2010-02-08,195.690006,197.88000300000002,193.999994,194.11999699999998,119567700,25.1501
2010-02-09,196.419996,197.499994,194.749998,196.19000400000002,158221700,25.418289
2010-02-10,195.889997,196.6,194.26,195.12000700000002,92590400,25.27966
